,Burn_Value,EVT_Value,freq,EVT_Name,EVT_PHYS,EVT_Fuel_N,acres
75,5,9056,12,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Tr Boreal Acidic Peatland Systems,0.002965159
76,5,9088,1,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,Tr Boreal Jack Pine-Black Spruce Forest,0.000247097
77,5,9089,89,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,0.021991599
78,5,9112,300,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,0.074128984
79,5,9312,122,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.030145787
80,5,9315,23,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Forest,0.005683222
81,5,9317,4,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Sh Northern & Central Ruderal Meadow & Shrubland,0.000988386
82,5,9817,35,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.008648382
83,6,7191,8,Recently Logged-Herb and Grass Cover,Grassland,He Recently Logged-Herb and Grass Cover,0.001976773
84,6,7192,7,Recently Logged-Shrub Cover,Shrubland,Sh Recently Logged-Shrub Cover,0.001729676
85,6,7193,28,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.006918705
86,6,7195,9,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.00222387
87,6,7196,3,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.00074129
88,6,7198,2,Recently Disturbed Other-Herb and Grass Cover,Grassland,He Recently Disturbed-Herb and Grass Cover,0.000494193
89,6,7199,1,Recently Disturbed Other-Shrub Cover,Shrubland,Sh Recently Disturbed-Shrub Cover,0.000247097
90,6,7238,17,Laurentian-Acadian Northern Oak Forest,Hardwood,Tr Laurentian-Acadian Northern Oak Forest,0.004200642
91,6,7239,29,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Tr Laurentian-Acadian Northern Pine-Oak Forest,0.007165802
92,6,7240,12,Laurentian-Acadian Hardwood Forest,Hardwood,Tr Laurentian-Acadian Hardwood Forest,0.002965159
93,6,7241,70,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.017296763
94,6,7242,4,Laurentian Oak Barrens,Hardwood,Tr Laurentian Oak Barrens,0.000988386
95,6,7296,1,Developed-Low Intensity,Developed-Low Intensity,Bau Developed-Low Intensity,0.000247097
96,6,7301,119,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Tr Boreal Aspen-Birch Forest,0.029404497
97,6,7302,788,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,0.194712132
98,6,7362,27,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.006671609
99,6,7366,129,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,0.031875463
100,6,7481,67,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,0.016555473
101,6,7905,26,Eastern Cool Temperate Urban Deciduous Forest,Developed,Dtd Urban Deciduous Forest,0.006424512
102,6,7906,28,Eastern Cool Temperate Urban Evergreen Forest,Developed,Dtc Urban Evergreen Forest,0.006918705
103,6,7907,26,Eastern Cool Temperate Urban Mixed Forest,Developed,Dtm Urban Mixed Deciduous-Evergreen Forest,0.006424512
104,6,7909,9,Eastern Cool Temperate Urban Shrubland,Developed,Dsh Urban Shrubland,0.00222387
105,6,7934,1,Eastern Cool Temperate Developed Ruderal Grassland,Developed,Dgr Developed Ruderal Grassland,0.000247097
106,6,9056,84,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Tr Boreal Acidic Peatland Systems,0.020756116
107,6,9089,200,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,0.049419323
108,6,9112,595,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,0.147022486
109,6,9312,312,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.077094144
110,6,9315,34,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Forest,0.008401285
111,6,9317,4,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Sh Northern & Central Ruderal Meadow & Shrubland,0.000988386
112,6,9817,53,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.013096121
113,7,7191,29,Recently Logged-Herb and Grass Cover,Grassland,He Recently Logged-Herb and Grass Cover,0.007165802
114,7,7192,21,Recently Logged-Shrub Cover,Shrubland,Sh Recently Logged-Shrub Cover,0.005189029
115,7,7193,26,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.006424512
116,7,7195,9,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.00222387
117,7,7196,4,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.000988386
118,7,7200,8,Recently Disturbed Other-Tree Cover,Conifer,Tr Recently Disturbed-Tree Cover,0.001976773
