,Burn_Value,EVT_Value,freq,EVT_Name,EVT_PHYS,EVT_Fuel_N,acres
727,19,9114,29,Laurentian-Acadian Alkaline Fen,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.007165802
728,19,9117,243,Laurentian-Acadian Floodplain Forest,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.060044477
729,19,9118,240,Laurentian-Acadian Freshwater Marsh,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.059303188
730,19,9120,269,Laurentian-Acadian Wet Meadow,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.066468989
731,19,9202,14,Northern Great Lakes Coastal Marsh,Riparian,He Great Lakes Coastal Marsh Systems,0.003459353
732,19,9203,1,Northern Great Lakes Interdunal Wetland,Riparian,He Great Lakes Coastal Marsh Systems,0.000247097
733,19,9312,3056,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.755127255
734,19,9314,1,Northern & Central Native Ruderal Flooded & Swamp Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Flooded & Swamp Forest,0.000247097
735,19,9315,37,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Forest,0.009142575
736,19,9317,40,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Sh Northern & Central Ruderal Meadow & Shrubland,0.009883865
737,19,9601,4,Great Lakes Dune Grassland,Grassland,He Great Lakes Dune Grassland,0.000988386
738,19,9620,79,Laurentian-Acadian Shrub Swamp,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.019520633
739,19,9817,613,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.151470225
740,20,7191,623,Recently Logged-Herb and Grass Cover,Grassland,He Recently Logged-Herb and Grass Cover,0.153941191
741,20,7192,143,Recently Logged-Shrub Cover,Shrubland,Sh Recently Logged-Shrub Cover,0.035334816
742,20,7193,815,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.201383741
743,20,7195,58,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.014331604
744,20,7196,6,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.00148258
745,20,7197,9,Recently Burned-Tree Cover,Conifer,Tr Recently Burned-Tree Cover,0.00222387
746,20,7198,41,Recently Disturbed Other-Herb and Grass Cover,Grassland,He Recently Disturbed-Herb and Grass Cover,0.010130961
747,20,7199,19,Recently Disturbed Other-Shrub Cover,Shrubland,Sh Recently Disturbed-Shrub Cover,0.004694836
748,20,7200,193,Recently Disturbed Other-Tree Cover,Conifer,Tr Recently Disturbed-Tree Cover,0.047689647
749,20,7238,308,Laurentian-Acadian Northern Oak Forest,Hardwood,Tr Laurentian-Acadian Northern Oak Forest,0.076105757
750,20,7239,345,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Tr Laurentian-Acadian Northern Pine-Oak Forest,0.085248332
751,20,7240,356,Laurentian-Acadian Hardwood Forest,Hardwood,Tr Laurentian-Acadian Hardwood Forest,0.087966395
752,20,7241,2099,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.518655794
753,20,7242,10,Laurentian Oak Barrens,Hardwood,Tr Laurentian Oak Barrens,0.002470966
754,20,7243,2,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Tr Laurentian Pine-Oak Barrens,0.000494193
755,20,7292,466,Open Water,Open Water,Ba Open Water,0.115147022
756,20,7296,91,Developed-Low Intensity,Developed-Low Intensity,Bau Developed-Low Intensity,0.022485792
757,20,7297,8,Developed-Medium Intensity,Developed-Medium Intensity,Bau Developed-Medium Intensity,0.001976773
758,20,7301,5550,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Tr Boreal Aspen-Birch Forest,1.371386212
759,20,7302,26020,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,6.429453916
760,20,7362,1089,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.269088213
761,20,7366,7745,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,1.913763281
762,20,7407,46,Laurentian Pine Barrens,Conifer,Tr Laurentian Pine Barrens,0.011366444
763,20,7466,1189,Great Lakes Wooded Dune and Swale,Riparian,Tr Great Lakes Wooded Dune and Swale,0.293797875
764,20,7481,47628,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,11.76871757
765,20,7905,532,Eastern Cool Temperate Urban Deciduous Forest,Developed,Dtd Urban Deciduous Forest,0.131455399
766,20,7906,490,Eastern Cool Temperate Urban Evergreen Forest,Developed,Dtc Urban Evergreen Forest,0.121077341
767,20,7907,624,Eastern Cool Temperate Urban Mixed Forest,Developed,Dtm Urban Mixed Deciduous-Evergreen Forest,0.154188288
768,20,7908,66,Eastern Cool Temperate Urban Herbaceous,Developed,Dgr Urban Herbaceous,0.016308377
769,20,7909,141,Eastern Cool Temperate Urban Shrubland,Developed,Dsh Urban Shrubland,0.034840623
770,20,7930,98,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,Dtd Developed Ruderal Deciduous Forest,0.024215468
771,20,7931,183,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,Dtc Developed Ruderal Evergreen Forest,0.045218681
772,20,7932,7,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed,Dtm Developed Ruderal Deciduous-Evergreen Forest,0.001729676
773,20,7933,3,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,Dsh Developed Ruderal Shrubland,0.00074129
774,20,7934,131,Eastern Cool Temperate Developed Ruderal Grassland,Developed,Dgr Developed Ruderal Grassland,0.032369657
775,20,7952,157,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,Dtm Developed Ruderal Deciduous-Evergreen Forested Wetland,0.038794169
776,20,7953,4,Eastern Cool Temperate Developed Ruderal Shrub Wetland,Developed,Dsh Developed Ruderal Shrub Wetland,0.000988386
777,20,7954,13,Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,Dgr Developed Ruderal Herbaceous Wetland,0.003212256
778,20,7974,1,Eastern Cool Temperate Row Crop,Agricultural,Da Row Crop,0.000247097
779,20,7975,6,Eastern Cool Temperate Close Grown Crop,Agricultural,Da Close Grown Crop,0.00148258
780,20,7976,18,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Dab Fallow/Idle Cropland,0.004447739
781,20,7977,68,Eastern Cool Temperate Pasture and Hayland,Agricultural,Dab Pasture and Hayland,0.01680257
782,20,7978,1,Eastern Cool Temperate Wheat,Agricultural,Da Wheat,0.000247097
783,20,7979,1,Eastern Cool Temperate Aquaculture,Agricultural,Da Aquaculture,0.000247097
784,20,9055,49,Boreal-Laurentian Bog,Riparian,Tr Boreal Acidic Peatland Systems,0.012107734
785,20,9056,10266,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Tr Boreal Acidic Peatland Systems,2.536693847
786,20,9057,19,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.004694836
787,20,9088,4,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,Tr Boreal Jack Pine-Black Spruce Forest,0.000988386
788,20,9089,9735,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,2.405485545
789,20,9101,13,Great Lakes Dune,Sparsely Vegetated,Sps Laurentian-Acadian Sparsely Vegetated Systems,0.003212256
790,20,9112,6884,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,1.701013096
791,20,9114,43,Laurentian-Acadian Alkaline Fen,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.010625154
792,20,9117,328,Laurentian-Acadian Floodplain Forest,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.08104769
793,20,9118,241,Laurentian-Acadian Freshwater Marsh,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.059550284
794,20,9120,440,Laurentian-Acadian Wet Meadow,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.108722511
795,20,9202,42,Northern Great Lakes Coastal Marsh,Riparian,He Great Lakes Coastal Marsh Systems,0.010378058
796,20,9203,1,Northern Great Lakes Interdunal Wetland,Riparian,He Great Lakes Coastal Marsh Systems,0.000247097
797,20,9312,3298,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.814924636
798,20,9314,1,Northern & Central Native Ruderal Flooded & Swamp Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Flooded & Swamp Forest,0.000247097
799,20,9315,85,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Forest,0.021003212
800,20,9317,37,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Sh Northern & Central Ruderal Meadow & Shrubland,0.009142575
801,20,9601,3,Great Lakes Dune Grassland,Grassland,He Great Lakes Dune Grassland,0.00074129
802,20,9617,1,Laurentian-Acadian Floodplain Shrubland,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.000247097
803,20,9620,118,Laurentian-Acadian Shrub Swamp,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.029157401
804,20,9817,526,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.129972819
805,21,7191,710,Recently Logged-Herb and Grass Cover,Grassland,He Recently Logged-Herb and Grass Cover,0.175438596
806,21,7192,179,Recently Logged-Shrub Cover,Shrubland,Sh Recently Logged-Shrub Cover,0.044230294
807,21,7193,818,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.202125031
808,21,7195,64,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.015814183
809,21,7196,1,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.000247097
810,21,7197,10,Recently Burned-Tree Cover,Conifer,Tr Recently Burned-Tree Cover,0.002470966
811,21,7198,21,Recently Disturbed Other-Herb and Grass Cover,Grassland,He Recently Disturbed-Herb and Grass Cover,0.005189029
812,21,7199,38,Recently Disturbed Other-Shrub Cover,Shrubland,Sh Recently Disturbed-Shrub Cover,0.009389671
813,21,7200,165,Recently Disturbed Other-Tree Cover,Conifer,Tr Recently Disturbed-Tree Cover,0.040770941
814,21,7238,329,Laurentian-Acadian Northern Oak Forest,Hardwood,Tr Laurentian-Acadian Northern Oak Forest,0.081294786
815,21,7239,350,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Tr Laurentian-Acadian Northern Pine-Oak Forest,0.086483815
816,21,7240,344,Laurentian-Acadian Hardwood Forest,Hardwood,Tr Laurentian-Acadian Hardwood Forest,0.085001235
817,21,7241,2297,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.567580924
818,21,7242,5,Laurentian Oak Barrens,Hardwood,Tr Laurentian Oak Barrens,0.001235483
819,21,7292,501,Open Water,Open Water,Ba Open Water,0.123795404
820,21,7295,3,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0.00074129
821,21,7296,101,Developed-Low Intensity,Developed-Low Intensity,Bau Developed-Low Intensity,0.024956758
822,21,7297,12,Developed-Medium Intensity,Developed-Medium Intensity,Bau Developed-Medium Intensity,0.002965159
823,21,7301,6204,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Tr Boreal Aspen-Birch Forest,1.532987398
824,21,7302,27277,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,6.740054361
825,21,7362,1157,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.285890783
826,21,7366,8606,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,2.126513467
827,21,7407,57,Laurentian Pine Barrens,Conifer,Tr Laurentian Pine Barrens,0.014084507
828,21,7466,1524,Great Lakes Wooded Dune and Swale,Riparian,Tr Great Lakes Wooded Dune and Swale,0.376575241
829,21,7481,52035,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,12.85767235
830,21,7905,524,Eastern Cool Temperate Urban Deciduous Forest,Developed,Dtd Urban Deciduous Forest,0.129478626
831,21,7906,571,Eastern Cool Temperate Urban Evergreen Forest,Developed,Dtc Urban Evergreen Forest,0.141092167
832,21,7907,629,Eastern Cool Temperate Urban Mixed Forest,Developed,Dtm Urban Mixed Deciduous-Evergreen Forest,0.155423771
833,21,7908,72,Eastern Cool Temperate Urban Herbaceous,Developed,Dgr Urban Herbaceous,0.017790956
834,21,7909,158,Eastern Cool Temperate Urban Shrubland,Developed,Dsh Urban Shrubland,0.039041265
835,21,7930,113,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,Dtd Developed Ruderal Deciduous Forest,0.027921917
836,21,7931,224,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,Dtc Developed Ruderal Evergreen Forest,0.055349642
837,21,7932,7,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed,Dtm Developed Ruderal Deciduous-Evergreen Forest,0.001729676
838,21,7933,5,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,Dsh Developed Ruderal Shrubland,0.001235483
839,21,7934,163,Eastern Cool Temperate Developed Ruderal Grassland,Developed,Dgr Developed Ruderal Grassland,0.040276748
840,21,7952,113,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,Dtm Developed Ruderal Deciduous-Evergreen Forested Wetland,0.027921917
841,21,7954,3,Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,Dgr Developed Ruderal Herbaceous Wetland,0.00074129
842,21,7974,4,Eastern Cool Temperate Row Crop,Agricultural,Da Row Crop,0.000988386
843,21,7975,13,Eastern Cool Temperate Close Grown Crop,Agricultural,Da Close Grown Crop,0.003212256
844,21,7976,17,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Dab Fallow/Idle Cropland,0.004200642
845,21,7977,64,Eastern Cool Temperate Pasture and Hayland,Agricultural,Dab Pasture and Hayland,0.015814183
846,21,7978,1,Eastern Cool Temperate Wheat,Agricultural,Da Wheat,0.000247097
847,21,9055,55,Boreal-Laurentian Bog,Riparian,Tr Boreal Acidic Peatland Systems,0.013590314
848,21,9056,11463,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Tr Boreal Acidic Peatland Systems,2.832468495
849,21,9057,22,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.005436126
850,21,9088,9,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,Tr Boreal Jack Pine-Black Spruce Forest,0.00222387
851,21,9089,10521,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,2.599703484
852,21,9100,1,Great Lakes Alkaline Rocky Shore and Cliff,Sparsely Vegetated,Sps Laurentian-Acadian Sparsely Vegetated Systems,0.000247097
853,21,9101,5,Great Lakes Dune,Sparsely Vegetated,Sps Laurentian-Acadian Sparsely Vegetated Systems,0.001235483
854,21,9112,6818,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,1.68470472
855,21,9114,63,Laurentian-Acadian Alkaline Fen,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.015567087
856,21,9117,383,Laurentian-Acadian Floodplain Forest,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.094638003
857,21,9118,288,Laurentian-Acadian Freshwater Marsh,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.071163825
858,21,9120,577,Laurentian-Acadian Wet Meadow,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.142574747
859,21,9202,18,Northern Great Lakes Coastal Marsh,Riparian,He Great Lakes Coastal Marsh Systems,0.004447739
860,21,9203,2,Northern Great Lakes Interdunal Wetland,Riparian,He Great Lakes Coastal Marsh Systems,0.000494193
861,21,9312,3312,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.818383988
862,21,9314,1,Northern & Central Native Ruderal Flooded & Swamp Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Flooded & Swamp Forest,0.000247097
863,21,9315,96,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Forest,0.023721275
864,21,9317,37,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Sh Northern & Central Ruderal Meadow & Shrubland,0.009142575
865,21,9601,1,Great Lakes Dune Grassland,Grassland,He Great Lakes Dune Grassland,0.000247097
866,21,9617,5,Laurentian-Acadian Floodplain Shrubland,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.001235483
867,21,9620,164,Laurentian-Acadian Shrub Swamp,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.040523845
868,21,9817,656,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.162095379
869,22,7191,703,Recently Logged-Herb and Grass Cover,Grassland,He Recently Logged-Herb and Grass Cover,0.17370892
870,22,7192,192,Recently Logged-Shrub Cover,Shrubland,Sh Recently Logged-Shrub Cover,0.04744255
871,22,7193,826,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.204101804
872,22,7195,45,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.011119348
873,22,7196,1,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.000247097
874,22,7197,12,Recently Burned-Tree Cover,Conifer,Tr Recently Burned-Tree Cover,0.002965159
875,22,7198,45,Recently Disturbed Other-Herb and Grass Cover,Grassland,He Recently Disturbed-Herb and Grass Cover,0.011119348
876,22,7199,26,Recently Disturbed Other-Shrub Cover,Shrubland,Sh Recently Disturbed-Shrub Cover,0.006424512
877,22,7200,168,Recently Disturbed Other-Tree Cover,Conifer,Tr Recently Disturbed-Tree Cover,0.041512231
878,22,7238,276,Laurentian-Acadian Northern Oak Forest,Hardwood,Tr Laurentian-Acadian Northern Oak Forest,0.068198666
879,22,7239,368,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Tr Laurentian-Acadian Northern Pine-Oak Forest,0.090931554
880,22,7240,377,Laurentian-Acadian Hardwood Forest,Hardwood,Tr Laurentian-Acadian Hardwood Forest,0.093155424
881,22,7241,2438,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.602421547
882,22,7242,6,Laurentian Oak Barrens,Hardwood,Tr Laurentian Oak Barrens,0.00148258
883,22,7243,3,Laurentian Pine-Oak Barrens,Conifer-Hardwood,Tr Laurentian Pine-Oak Barrens,0.00074129
884,22,7292,647,Open Water,Open Water,Ba Open Water,0.15987151
885,22,7295,1,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,Bab Quarries-Strip Mines-Gravel Pits-Well and Wind Pads,0.000247097
886,22,7296,105,Developed-Low Intensity,Developed-Low Intensity,Bau Developed-Low Intensity,0.025945145
887,22,7297,15,Developed-Medium Intensity,Developed-Medium Intensity,Bau Developed-Medium Intensity,0.003706449
888,22,7298,1,Developed-High Intensity,Developed-High Intensity,Bau Developed-High Intensity,0.000247097
889,22,7301,6298,Laurentian-Acadian Sub-boreal Aspen-Birch Forest,Hardwood,Tr Boreal Aspen-Birch Forest,1.55621448
890,22,7302,26530,Laurentian-Acadian Northern Hardwoods Forest,Hardwood,Tr Laurentian-Acadian Northern Hardwoods Forest,6.55547319
891,22,7362,1159,Laurentian-Acadian Northern Pine Forest,Conifer,Tr Laurentian-Acadian Northern Pine Forest,0.286384977
892,22,7366,8395,Laurentian-Acadian Pine-Hemlock Forest,Conifer,Tr Laurentian-Acadian Pine-Hemlock Forest,2.074376081
893,22,7407,35,Laurentian Pine Barrens,Conifer,Tr Laurentian Pine Barrens,0.008648382
894,22,7466,1652,Great Lakes Wooded Dune and Swale,Riparian,Tr Great Lakes Wooded Dune and Swale,0.408203608
895,22,7481,49050,Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,Riparian,Tr Laurentian-Acadian Alkaline Conifer-Hardwood Swamp,12.12008895
896,22,7905,484,Eastern Cool Temperate Urban Deciduous Forest,Developed,Dtd Urban Deciduous Forest,0.119594762
897,22,7906,579,Eastern Cool Temperate Urban Evergreen Forest,Developed,Dtc Urban Evergreen Forest,0.14306894
898,22,7907,635,Eastern Cool Temperate Urban Mixed Forest,Developed,Dtm Urban Mixed Deciduous-Evergreen Forest,0.15690635
899,22,7908,71,Eastern Cool Temperate Urban Herbaceous,Developed,Dgr Urban Herbaceous,0.01754386
900,22,7909,171,Eastern Cool Temperate Urban Shrubland,Developed,Dsh Urban Shrubland,0.042253521
901,22,7930,148,Eastern Cool Temperate Developed Ruderal Deciduous Forest,Developed,Dtd Developed Ruderal Deciduous Forest,0.036570299
902,22,7931,198,Eastern Cool Temperate Developed Ruderal Evergreen Forest,Developed,Dtc Developed Ruderal Evergreen Forest,0.04892513
903,22,7932,8,Eastern Cool Temperate Developed Ruderal Mixed Forest,Developed,Dtm Developed Ruderal Deciduous-Evergreen Forest,0.001976773
904,22,7933,10,Eastern Cool Temperate Developed Ruderal Shrubland,Developed,Dsh Developed Ruderal Shrubland,0.002470966
905,22,7934,244,Eastern Cool Temperate Developed Ruderal Grassland,Developed,Dgr Developed Ruderal Grassland,0.060291574
906,22,7952,135,Eastern Cool Temperate Developed Ruderal Mixed Forested Wetland,Developed,Dtm Developed Ruderal Deciduous-Evergreen Forested Wetland,0.033358043
907,22,7954,7,Eastern Cool Temperate Developed Ruderal Herbaceous Wetland,Developed,Dgr Developed Ruderal Herbaceous Wetland,0.001729676
908,22,7970,1,Eastern Cool Temperate Orchard,Agricultural,Dab Orchard,0.000247097
909,22,7974,3,Eastern Cool Temperate Row Crop,Agricultural,Da Row Crop,0.00074129
910,22,7975,29,Eastern Cool Temperate Close Grown Crop,Agricultural,Da Close Grown Crop,0.007165802
911,22,7976,17,Eastern Cool Temperate Fallow/Idle Cropland,Agricultural,Dab Fallow/Idle Cropland,0.004200642
912,22,7977,74,Eastern Cool Temperate Pasture and Hayland,Agricultural,Dab Pasture and Hayland,0.018285149
913,22,9055,39,Boreal-Laurentian Bog,Riparian,Tr Boreal Acidic Peatland Systems,0.009636768
914,22,9056,9890,Boreal-Laurentian Conifer Acidic Swamp and Treed Poor Fen,Riparian,Tr Boreal Acidic Peatland Systems,2.44378552
915,22,9057,7,Boreal-Laurentian-Acadian Acidic Basin Fen,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.001729676
916,22,9088,7,Laurentian-Acadian Sub-boreal Dry-Mesic Pine-Black Spruce Forest,Conifer,Tr Boreal Jack Pine-Black Spruce Forest,0.001729676
917,22,9089,10558,Laurentian-Acadian Sub-boreal Mesic Balsam Fir-Spruce Forest,Conifer,Tr Boreal White Spruce-Fir Forest,2.608846059
918,22,9101,12,Great Lakes Dune,Sparsely Vegetated,Sps Laurentian-Acadian Sparsely Vegetated Systems,0.002965159
919,22,9112,5770,Laurentian Jack Pine-Red Pine Forest,Conifer,Tr Laurentian Jack Pine-Red Pine Forest,1.425747467
920,22,9114,95,Laurentian-Acadian Alkaline Fen,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.023474178
921,22,9117,348,Laurentian-Acadian Floodplain Forest,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.085989622
922,22,9118,246,Laurentian-Acadian Freshwater Marsh,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.060785767
923,22,9120,551,Laurentian-Acadian Wet Meadow,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.136150235
924,22,9202,22,Northern Great Lakes Coastal Marsh,Riparian,He Great Lakes Coastal Marsh Systems,0.005436126
925,22,9203,2,Northern Great Lakes Interdunal Wetland,Riparian,He Great Lakes Coastal Marsh Systems,0.000494193
926,22,9312,3258,Northeastern North American Temperate Forest Plantation,Conifer,Tr Northeastern North American Temperate Forest Plantation,0.805040771
927,22,9314,3,Northern & Central Native Ruderal Flooded & Swamp Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Flooded & Swamp Forest,0.00074129
928,22,9315,61,Northern & Central Native Ruderal Forest,Conifer-Hardwood,Tr Northern & Central Native Ruderal Forest,0.015072894
929,22,9317,30,Northern & Central Ruderal Shrubland,Exotic Tree-Shrub,Sh Northern & Central Ruderal Meadow & Shrubland,0.007412898
930,22,9617,6,Laurentian-Acadian Floodplain Shrubland,Riparian,Tr Laurentian-Acadian Floodplain Systems,0.00148258
931,22,9620,164,Laurentian-Acadian Shrub Swamp,Riparian,Sh Laurentian-Acadian Shrub-Herbaceous Wetland Systems,0.040523845
932,22,9817,590,Northern & Central Ruderal Meadow,Exotic Herbaceous,Sh Northern & Central Ruderal Meadow & Shrubland,0.145787003
933,23,7191,510,Recently Logged-Herb and Grass Cover,Grassland,He Recently Logged-Herb and Grass Cover,0.126019274
934,23,7192,183,Recently Logged-Shrub Cover,Shrubland,Sh Recently Logged-Shrub Cover,0.045218681
935,23,7193,835,Recently Logged-Tree Cover,Conifer,Tr Recently Logged-Tree Cover,0.206325673
936,23,7195,38,Recently Burned-Herb and Grass Cover,Grassland,He Recently Burned-Herb and Grass Cover,0.009389671
937,23,7196,6,Recently Burned-Shrub Cover,Shrubland,Sh Recently Burned-Shrub Cover,0.00148258
938,23,7197,8,Recently Burned-Tree Cover,Conifer,Tr Recently Burned-Tree Cover,0.001976773
939,23,7198,38,Recently Disturbed Other-Herb and Grass Cover,Grassland,He Recently Disturbed-Herb and Grass Cover,0.009389671
940,23,7199,29,Recently Disturbed Other-Shrub Cover,Shrubland,Sh Recently Disturbed-Shrub Cover,0.007165802
941,23,7200,176,Recently Disturbed Other-Tree Cover,Conifer,Tr Recently Disturbed-Tree Cover,0.043489004
942,23,7238,311,Laurentian-Acadian Northern Oak Forest,Hardwood,Tr Laurentian-Acadian Northern Oak Forest,0.076847047
943,23,7239,343,Laurentian-Acadian Northern Pine-(Oak) Forest,Conifer-Hardwood,Tr Laurentian-Acadian Northern Pine-Oak Forest,0.084754139
944,23,7240,395,Laurentian-Acadian Hardwood Forest,Hardwood,Tr Laurentian-Acadian Hardwood Forest,0.097603163
945,23,7241,2349,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Conifer-Hardwood,Tr Laurentian-Acadian Pine-Hemlock-Hardwood Forest,0.580429948
946,23,7242,3,Laurentian Oak Barrens,Hardwood,Tr Laurentian Oak Barrens,0.00074129
